model,macro_f1,roc_auc
TF-IDF Logistic,0.4670421131142466,0.451748806995228
TF-IDF LinearSVC,0.46469911295942573,0.43960800843203374
TF-IDF RandomForest,0.4459998614999654,0.42623845495381973
TF-IDF XGBoost,0.3390759956402726,0.4992334969339878
Embeddings Logistic,0.4979446483974858,0.49667698670794685
Embeddings XGBoost,0.44299317666641413,0.41181214724858894
Hybrid Logistic,0.5082697947214077,0.5076615306461226
Hybrid XGBoost,0.4652499665781229,0.4370707482829931
Stacked Ensemble (meta),0.5107125389287618,0.526688356753427
